id,block,far_mean,far_median,far_stddev,ladu_mean,ladu_median,ladu_stddev,os_mean,os_median,os_stddev,far_1,far_2,far_3
330,217,0.79,0.79,0.22,2427.23,2235.0,1318.6,68.95,67.49,8.73,0.64,0.79,0.94
331,218,0.88,0.79,0.26,1844.66,1652.5,701.7,66.57,69.42,13.96,0.7,0.78,0.98
332,221,0.91,0.89,0.26,2081.91,1427.0,1897.56,63.89,65.92,9.2,0.77,0.89,1.06
333,224,0.97,0.94,0.43,2603.46,1718.91,2119.39,61.55,66.65,24.12,0.67,0.94,1.03
334,131,0.66,0.61,0.24,2691.45,2125.0,1293.29,68.63,74.42,15.35,0.55,0.61,0.82
335,160,1.0,0.95,0.41,1883.15,1462.5,1210.85,58.73,62.41,16.81,0.75,0.95,1.16
336,173,0.68,0.67,0.33,3336.72,3226.0,2465.07,69.09,72.26,13.2,0.51,0.67,0.76
337,161,0.86,0.76,0.42,2102.3,1805.5,1258.75,67.25,70.89,11.69,0.57,0.76,0.92
338,226,0.83,0.53,0.73,2427.77,2087.84,1543.37,71.95,77.07,13.53,0.44,0.53,0.85
339,243,0.62,0.59,0.17,2139.41,1416.8,1049.32,71.41,71.33,2.69,0.55,0.59,0.74
340,177,1.07,1.04,0.25,1278.85,1219.0,772.92,62.03,61.87,5.56,0.93,1.04,1.24
341,211,0.69,0.69,0.22,2617.44,2502.5,1141.82,69.99,70.66,10.76,0.57,0.69,0.79
342,275,0.51,0.52,0.18,6561.46,5062.0,7513.71,73.94,72.5,9.84,0.36,0.52,0.65
343,178,0.94,0.99,0.19,1779.84,1237.5,1386.72,58.9,61.25,13.92,0.77,1.0,1.08
344,182,1.29,1.33,0.28,731.64,612.33,315.35,51.13,55.54,9.78,1.2,1.33,1.42
345,204,0.94,0.94,0.41,1643.1,1431.5,1153.22,64.95,65.1,14.92,0.61,0.94,1.12
346,237,0.34,0.25,0.18,7792.12,8329.0,1962.52,78.35,78.81,1.68,0.22,0.25,0.37
347,257,0.4,0.37,0.08,7728.9,8497.0,2742.8,81.45,82.76,3.22,0.36,0.37,0.46
348,258,0.46,0.43,0.12,7783.59,6493.75,2999.48,78.48,81.93,9.78,0.39,0.43,0.53
349,259,0.41,0.4,0.11,9117.87,6721.0,5500.81,78.09,82.31,15.58,0.36,0.4,0.41
350,190,0.8,0.68,0.41,2420.15,1680.5,1968.76,68.04,73.08,17.67,0.52,0.68,1.0
351,214,0.89,0.6,0.64,3437.63,2001.0,3051.58,70.73,75.44,15.0,0.45,0.6,1.07
352,151,1.12,1.01,0.29,1303.61,1088.76,641.91,51.6,57.1,20.48,1.01,1.01,1.41
355,120,0.94,0.67,0.71,4263.37,3033.0,3813.69,63.28,68.71,23.79,0.48,0.67,0.93
356,137,0.69,0.53,0.43,5255.85,4065.0,4936.05,73.66,77.56,16.34,0.47,0.53,0.76
357,152,0.69,0.68,0.16,4566.32,3952.0,2039.45,71.39,71.81,5.51,0.55,0.68,0.82
358,153,0.72,0.67,0.11,2234.7,1724.67,1081.92,62.82,74.45,28.57,0.65,0.67,0.76
359,156,0.77,0.4,0.8,9348.6,8580.0,7154.23,68.24,82.33,24.58,0.4,0.4,0.44
360,125,0.56,0.48,0.26,7407.93,5270.5,4062.33,74.82,76.58,11.98,0.38,0.48,0.76
361,220,0.84,0.9,0.24,2727.42,1928.0,1833.79,68.08,68.68,8.21,0.62,0.9,0.97
362,244,1.54,1.18,1.05,2076.6,1518.66,2256.09,64.24,63.58,23.85,0.84,1.18,2.12
363,240,0.72,0.65,0.33,3764.5,3538.0,1870.46,69.09,71.57,9.34,0.55,0.65,0.71
365,228,0.8,0.71,0.34,2366.99,2121.75,1404.42,65.57,66.13,14.35,0.6,0.71,0.86
366,142,0.63,0.62,0.24,2779.96,2178.0,1146.06,66.75,69.36,13.85,0.52,0.62,0.85
367,147,0.6,0.58,0.17,2773.27,2270.75,1178.35,73.02,72.25,4.01,0.49,0.58,0.65
368,155,0.65,0.7,0.15,2521.07,2320.0,817.02,75.33,75.64,3.6,0.5,0.7,0.76
369,154,0.72,0.72,0.13,2576.31,3040.0,942.31,68.26,69.44,5.54,0.61,0.72,0.78
370,164,0.71,0.68,0.14,2121.72,2293.25,640.99,67.44,72.42,13.08,0.64,0.68,0.8
371,175,0.6,0.46,0.27,5699.55,4892.5,2632.85,74.98,79.73,13.75,0.39,0.46,0.82
372,195,0.5,0.45,0.11,5415.52,4836.5,2019.21,71.86,74.25,10.0,0.42,0.44,0.52
373,132,0.72,0.56,0.27,4184.99,4282.0,2194.12,71.91,74.84,8.0,0.52,0.56,1.02
374,128,0.58,0.6,0.26,2822.39,3123.5,1009.7,72.94,74.8,13.04,0.33,0.6,0.75
375,141,0.73,0.63,0.27,3305.68,2987.5,1756.73,71.34,73.2,7.9,0.55,0.63,0.91
376,159,0.49,0.41,0.2,6320.43,6357.0,3133.36,77.45,78.41,7.38,0.34,0.41,0.64
377,171,0.36,0.35,0.07,6763.13,5140.0,3371.84,83.56,83.21,2.98,0.31,0.35,0.42
378,167,0.78,0.72,0.29,4389.18,3182.5,5727.31,60.97,65.32,20.33,0.59,0.72,1.0
379,179,0.68,0.62,0.33,4626.74,4784.0,3032.64,72.89,74.19,7.69,0.51,0.62,0.76
380,185,1.24,0.74,1.06,2643.42,2568.25,2151.8,54.29,53.56,26.67,0.57,0.74,1.7
381,196,0.97,0.94,0.38,2877.56,2366.91,1893.61,44.74,46.25,24.33,0.62,0.94,1.18
382,212,0.83,0.77,0.34,2669.97,2071.5,1675.76,64.18,68.7,17.44,0.61,0.77,0.98
383,252,0.36,0.37,0.08,9928.31,9471.0,2456.54,80.07,82.65,9.12,0.33,0.37,0.41
384,269,0.98,0.45,1.09,7776.91,9106.0,5270.05,73.21,81.57,16.94,0.34,0.45,0.92
385,172,0.65,0.65,0.13,4469.72,5066.0,1367.35,69.28,72.58,14.42,0.59,0.65,0.71
386,203,0.73,0.76,0.22,2511.67,2582.0,955.73,72.19,72.57,7.17,0.65,0.76,0.76
387,144,0.72,0.71,0.22,2627.93,2185.66,1849.4,63.32,67.87,15.32,0.53,0.71,0.88
388,148,0.73,0.73,0.11,2069.99,1504.75,950.83,69.18,71.13,5.93,0.65,0.74,0.79
389,129,0.55,0.56,0.18,5473.37,4568.5,2892.46,74.15,74.07,11.09,0.39,0.56,0.7
390,143,0.39,0.36,0.16,8978.36,7674.0,5440.32,82.67,82.34,6.28,0.29,0.36,0.45
391,157,0.5,0.47,0.13,5996.04,3949.5,4715.93,71.08,75.22,15.83,0.4,0.47,0.63
392,205,1.05,0.97,0.34,1639.9,1350.66,825.89,59.39,62.05,14.61,0.85,0.98,1.27
393,233,0.69,0.62,0.35,4110.7,3376.0,2596.66,70.02,69.55,13.15,0.45,0.62,0.88
394,109,1.08,0.92,0.62,1977.73,1874.5,1500.75,61.55,66.62,20.39,0.65,0.92,1.16
396,126,0.03,0.03,0.0,97760.0,97760.0,0.0,35.45,35.45,0.0,0.03,0.03,0.03
397,107,0.58,0.59,0.18,2940.75,2499.5,1280.64,73.3,75.88,12.41,0.46,0.59,0.64
398,115,0.79,0.84,0.24,1853.49,1699.5,873.62,70.67,68.93,7.42,0.6,0.84,0.98
399,116,0.86,0.81,0.13,1259.85,1280.16,239.26,70.95,71.57,4.31,0.75,0.82,0.94
400,117,0.82,0.85,0.17,2075.34,1972.66,980.82,67.43,69.59,12.76,0.68,0.85,0.96
401,118,0.8,0.78,0.15,2345.67,2392.75,593.89,57.74,65.9,18.56,0.7,0.78,0.87
402,121,0.75,0.73,0.12,2337.5,1974.0,938.91,65.15,70.16,17.74,0.69,0.73,0.83
403,124,0.76,0.74,0.22,2658.04,2574.0,1320.39,65.72,70.27,15.32,0.57,0.74,0.91
404,165,0.59,0.6,0.21,3334.69,3302.0,1747.28,71.84,73.8,10.87,0.46,0.6,0.73
405,97,0.63,0.53,0.31,2436.8,1615.0,2284.12,67.67,71.97,17.14,0.46,0.53,0.72
406,114,0.75,0.69,0.3,2517.62,2271.5,1228.0,66.91,69.9,14.42,0.53,0.69,0.95
407,89,0.56,0.71,0.32,8210.63,9088.72,4322.29,58.62,55.03,27.06,0.19,0.7,0.82
408,146,0.62,0.58,0.16,2309.85,2042.5,944.83,73.23,74.18,6.16,0.55,0.58,0.73
409,150,0.55,0.61,0.18,2720.56,2228.25,931.6,74.38,72.84,8.78,0.41,0.61,0.68
