id,ML,street_name,street_number,zone,block,total_rooms,bedrooms,first_floor_area,land_area,living_area,neighborhood,num_stories,FAR,LADU,OPEN,lot,lat
6067,104-134,Cottage St,46,C,642,15,5,771,1983,2404,Cambridgeport,0.0,1.21,661.0,61.12,-71.1078283917,42.3636355904
11808,104-135,Cottage St,48,C,642,6,3,1137,2064,2175,Cambridgeport,2.0,1.05,2064.0,44.91,-71.1079408275,42.3637294559
5460,104-137,Fairmont St,31,C,682,16,8,1158,2029,2874,Cambridgeport,2.5,1.42,1014.5,42.93,-71.1105997948,42.3616258226
4096,104-139,Pleasant St,94,C,682,12,5,1323,2487,2456,Cambridgeport,0.0,0.99,829.0,46.8,-71.1107029833,42.3618056991
6907,104-14,Fairmont St,17,C,682,14,7,1386,4699,3172,Cambridgeport,2.5,0.68,1566.33,70.5,-71.1100500328,42.3613879252
9451,104-140,Pleasant St,60,C,656,32,13,1826,4579,5567,Cambridgeport,0.0,1.22,763.17,60.12,-71.1093189046,42.3629869806
7879,104-141,Pleasant St,66,C,656,None,None,2322,4574,6994,Cambridgeport,3.0,1.53,762.33,49.23,-71.1094395171,42.3628640428
742,104-142,Kelly Rd,21,C,656,13,5,1135,2526,2638,Cambridgeport,2.5,1.04,842.0,55.07,-71.109085743,42.3624383851
9315,104-143,Kelly Rd,23-A,C,656,15,6,1084,2485,3252,Cambridgeport,3.0,1.31,828.33,56.38,-71.1090013149,42.3625963084
3431,104-144,Pleasant St,46,BA-3,642,None,None,928,2506,2691,Cambridgeport,3.0,1.07,2506.0,62.97,-71.1084255583,42.3637374677
5887,104-145,Pleasant St,48,BA-3,642,7,3,1055,2470,2035,Cambridgeport,2.25,0.82,2470.0,57.29,-71.1085190606,42.3636656064
6358,104-146,Kelly Rd,25,C,656,15,5,1074,3149,3264,Cambridgeport,0.0,1.04,1049.67,65.89,-71.1092685659,42.3625446767
1287,104-147,Kelly Rd,25-A,C,656,15,6,990,3070,2970,Cambridgeport,3.0,0.97,1023.33,67.75,-71.1090584502,42.3626451406
9771,104-148,Chalk St,18,C,682,6,3,584,1740,1272,Cambridgeport,2.25,0.73,1740.0,66.44,-71.1097386631,42.3615899191
8405,104-149,Chalk St,16,C,682,10,3,728,2242,1456,Cambridgeport,2.0,0.65,1121.0,67.53,-71.1096555715,42.3617069788
