id,block,far_mean,far_median,far_stddev,ladu_mean,ladu_median,ladu_stddev,os_mean,os_median,os_stddev
80,551,0.87,0.84,0.33,3158.07,1655.5,8526.62,61.42,62.04,11.85
81,567,1.02,0.84,0.4,1378.99,1357.67,569.86,50.15,53.5,15.51
82,579,1.04,0.88,0.49,1687.33,1338.75,1365.56,52.81,56.9,16.05
83,583,0.86,0.78,0.38,1659.83,1236.66,1133.84,66.22,63.7,10.92
84,588,0.8,0.78,0.34,1723.04,1577.5,819.28,63.6,68.18,16.85
85,589,1.28,1.21,0.55,1131.46,854.83,830.47,55.8,58.86,12.73
87,576,0.94,0.93,0.31,1635.94,1652.0,973.22,56.48,58.46,10.45
89,586,0.86,0.86,0.4,2014.0,2014.0,1220.0,63.06,63.06,13.44
91,601,2.4,2.53,0.41,408.1,428.95,38.51,40.56,36.65,10.27
94,528,1.04,0.77,0.59,1411.96,1084.47,887.48,63.89,72.11,16.9
95,550,0.81,0.84,0.36,2032.49,1500.5,1230.54,61.99,69.31,23.17
96,561,1.08,0.85,0.52,1662.09,2243.0,841.36,55.4,61.65,17.68
97,602,1.16,1.11,0.64,2047.42,1140.3,1812.37,57.46,59.04,22.33
98,613,0.86,0.85,0.38,1331.51,1441.0,508.32,63.84,69.7,12.49
99,618,0.95,0.87,0.51,1496.06,1147.0,1111.46,62.04,59.73,16.78
100,622,1.09,0.76,0.63,1545.22,1766.5,587.12,50.14,52.71,12.2
101,645,1.07,1.12,0.41,4831.07,2218.0,6940.34,54.45,63.64,22.35
102,647,0.79,0.79,0.1,1842.08,1125.0,1250.95,55.97,57.99,16.34
115,660,0.76,0.66,0.26,1975.66,1773.0,939.64,62.02,67.78,16.45
116,710,0.88,0.85,0.23,1766.42,1280.0,1020.58,49.78,55.54,22.96
117,675,1.14,1.13,0.47,1207.89,1016.0,750.7,56.26,60.32,16.63
118,743,0.64,0.63,0.21,3042.3,2089.33,2458.14,71.75,72.09,9.69
120,723,1.12,1.15,0.28,1264.76,1025.5,383.81,64.57,62.45,13.5
121,729,0.97,0.97,0.1,1143.31,1107.33,85.83,66.52,68.67,6.77
122,635,1.18,1.0,0.56,1990.85,1237.25,2536.51,54.47,58.9,16.92
123,646,1.03,0.84,0.48,1815.34,1679.0,1239.41,58.33,61.08,17.23
124,649,0.68,0.68,0.18,2463.5,2250.0,1246.18,66.55,71.27,15.4
125,689,0.82,0.7,0.34,1995.76,1809.48,1008.38,59.59,58.61,19.04
126,692,0.87,0.67,0.44,2591.21,2250.25,1935.09,61.08,69.3,20.96
127,693,0.95,0.87,0.45,1571.93,1194.75,1384.78,54.91,58.69,19.42
129,641,0.73,0.69,0.24,2353.29,1824.5,1254.44,57.89,65.57,21.78
130,700,1.07,1.1,0.29,1150.72,959.5,436.73,59.51,61.98,12.14
131,701,0.93,0.85,0.4,1499.26,1357.25,782.08,55.96,52.5,13.1
132,706,0.63,0.72,0.17,3586.48,2608.5,2949.74,61.62,67.55,20.88
133,690,0.96,0.85,0.58,1553.18,1319.5,848.36,65.25,70.36,19.79
